DATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
8-Mar,1,11,0
8-Mar,0,4,0
8-Mar,0,22,0
8-Mar,2,20,0
8-Mar,5,22,0
8-Mar,3,20,0
8-Mar,8,18,0
8-Mar,7,15,0
8-Mar,21,18,0
15-Mar,58,49,0
15-Mar,70,63,0
15-Mar,155,90,1
15-Mar,357,92,0
15-Mar,620,157,0
15-Mar,644,159,2
15-Mar,1037,189,5
22-Mar,2123,316,8
22-Mar,2455,359,8
22-Mar,2984,472,21
22-Mar,3714,559,24
22-Mar,4015,665,47
22-Mar,2640,700,44
22-Mar,2582,725,50
22-Mar,3571,1037,82
22-Mar,4507,1153,95
22-Mar,4865,1303,123
22-Mar,5051,1454,190
22-Mar,5128,1392,218
22-Mar,3477,1364,273
29-Mar,3560,1406,292
5-Apr,6131,1717,327
5-Apr,5473,1695,383
5-Apr,5464,1587,447
5-Apr,5768,1618,498
5-Apr,5676,1601,498
5-Apr,3869,1344,510
5-Apr,3794,1328,581
12-Apr,6378,1724,576
12-Apr,6065,1605,597
12-Apr,5585,1541,568
12-Apr,5074,1429,561
12-Apr,4521,1337,539
12-Apr,3733,1097,543
12-Apr,2889,995,573
19-Apr,3311,1214,571
19-Apr,4147,1088,512
19-Apr,3876,982,454
19-Apr,3524,882,413
19-Apr,3580,903,384
19-Apr,2169,662,391
19-Apr,2346,594,399
26-Apr,3787,721,364
26-Apr,3062,660,323
26-Apr,3460,599,312
26-Apr,2843,533,332
26-Apr,2539,550,316
26-Apr,1595,403,265
26-Apr,1002,375,247
3-May,2290,442,271
3-May,2727,441,228
3-May,2339,407,240
3-May,2020,343,222
3-May,1886,348,209
3-May,1057,261,192
3-May,783,255,178
10-May,1549,309,159
10-May,1513,283,151
10-May,1403,257,150
10-May,1234,252,142
10-May,1086,253,131
10-May,658,182,100
10-May,459,152,102
17-May,1234,246,103
17-May,1284,201,91
17-May,1337,223,83
17-May,1112,214,70
17-May,874,228,86
17-May,488,164,83
17-May,360,122,77
24-May,900,175,57
24-May,1006,201,54
24-May,1072,164,81
24-May,1070,172,45
24-May,1061,193,64
24-May,464,129,60
24-May,479,119,49
31-May,467,139,49
31-May,1054,149,37
31-May,753,159,49
31-May,637,139,38
31-May,642,158,43
31-May,349,95,53
31-May,217,90,39
7-Jun,666,124,34
7-Jun,574,123,38
7-Jun,513,115,42
7-Jun,511,89,32
7-Jun,409,64,26
7-Jun,247,47,35
7-Jun,198,45,24
14-Jun,444,62,41
14-Jun,425,50,33
14-Jun,367,45,31
14-Jun,357,41,21
14-Jun,410,54,23
14-Jun,196,29,14
14-Jun,185,42,24
21-Jun,376,48,20
21-Jun,421,48,19
21-Jun,350,41,20
21-Jun,371,39,17
21-Jun,353,40,17
21-Jun,204,27,19
21-Jun,174,33,28
28-Jun,393,40,25
28-Jun,376,42,27
28-Jun,380,37,25
28-Jun,297,37,19
28-Jun,312,34,20
28-Jun,206,37,21
28-Jun,199,32,19
5-Jul,439,39,25
5-Jul,443,37,24
5-Jul,397,30,12
5-Jul,415,30,27
5-Jul,227,24,23
5-Jul,118,22,14
5-Jul,151,24,16
12-Jul,417,42,19
12-Jul,426,41,13
12-Jul,429,30,20
12-Jul,372,41,10
12-Jul,292,36,10
12-Jul,222,30,13
12-Jul,186,18,11
19-Jul,359,45,18
19-Jul,269,33,8
19-Jul,264,22,13
19-Jul,239,30,8
19-Jul,268,44,10
19-Jul,110,24,10
19-Jul,86,25,10
26-Jul,185,18,3
26-Jul,65,0,4
26-Jul,11,0,0
