date,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
29-Feb-2020,1,11,0
1-Mar-2020,0,4,0
2-Mar-2020,0,22,0
3-Mar-2020,2,20,0
4-Mar-2020,5,22,0
5-Mar-2020,3,20,0
6-Mar-2020,8,18,0
7-Mar-2020,7,15,0
8-Mar-2020,21,18,0
9-Mar-2020,58,49,0
10-Mar-2020,70,63,0
11-Mar-2020,155,90,1
12-Mar-2020,357,92,0
13-Mar-2020,620,157,0
14-Mar-2020,644,159,2
15-Mar-2020,1037,189,5
16-Mar-2020,2123,316,8
17-Mar-2020,2455,359,8
18-Mar-2020,2984,472,21
19-Mar-2020,3714,559,24
20-Mar-2020,4015,665,47
21-Mar-2020,2640,700,44
22-Mar-2020,2582,725,50
23-Mar-2020,3571,1037,82
24-Mar-2020,4507,1153,95
25-Mar-2020,4865,1303,123
26-Mar-2020,5051,1454,190
27-Mar-2020,5128,1392,218
28-Mar-2020,3477,1364,273
29-Mar-2020,3560,1406,292
30-Mar-2020,6131,1717,327
31-Mar-2020,5473,1695,383
1-Apr-2020,5464,1587,447
2-Apr-2020,5768,1618,498
3-Apr-2020,5676,1601,498
4-Apr-2020,3869,1344,510
5-Apr-2020,3794,1328,581
6-Apr-2020,6378,1724,576
7-Apr-2020,6065,1605,597
8-Apr-2020,5585,1541,568
9-Apr-2020,5074,1429,561
10-Apr-2020,4521,1337,539
11-Apr-2020,3733,1097,543
12-Apr-2020,2889,995,573
13-Apr-2020,3311,1214,571
14-Apr-2020,4147,1088,512
15-Apr-2020,3876,982,454
16-Apr-2020,3524,882,413
17-Apr-2020,3580,903,384
18-Apr-2020,2169,662,391
19-Apr-2020,2346,594,399
20-Apr-2020,3787,721,364
21-Apr-2020,3062,660,323
22-Apr-2020,3460,599,312
23-Apr-2020,2843,533,332
24-Apr-2020,2539,550,316
25-Apr-2020,1595,403,265
26-Apr-2020,1002,375,247
27-Apr-2020,2290,442,271
28-Apr-2020,2727,441,228
29-Apr-2020,2339,407,240
30-Apr-2020,2020,343,222
1-May-2020,1886,348,209
2-May-2020,1057,261,192
3-May-2020,783,255,178
4-May-2020,1549,309,159
5-May-2020,1513,283,151
6-May-2020,1403,257,150
7-May-2020,1234,252,142
8-May-2020,1086,253,131
9-May-2020,658,182,100
10-May-2020,459,152,102
11-May-2020,1234,246,103
12-May-2020,1284,201,91
13-May-2020,1337,223,83
14-May-2020,1112,214,70
15-May-2020,874,228,86
16-May-2020,488,164,83
17-May-2020,360,122,77
18-May-2020,900,175,57
19-May-2020,1006,201,54
20-May-2020,1072,164,81
21-May-2020,1070,172,45
22-May-2020,1061,193,64
23-May-2020,464,129,60
24-May-2020,479,119,49
25-May-2020,467,139,49
26-May-2020,1054,149,37
27-May-2020,753,159,49
28-May-2020,637,139,38
29-May-2020,642,158,43
30-May-2020,349,95,53
31-May-2020,217,90,39
1-Jun-2020,666,124,34
2-Jun-2020,574,123,38
3-Jun-2020,513,115,42
4-Jun-2020,511,89,32
5-Jun-2020,409,64,26
6-Jun-2020,247,47,35
7-Jun-2020,198,45,24
8-Jun-2020,444,62,41
9-Jun-2020,425,50,33
10-Jun-2020,367,45,31
11-Jun-2020,357,41,21
12-Jun-2020,410,54,23
13-Jun-2020,196,29,14
14-Jun-2020,185,42,24
15-Jun-2020,376,48,20
16-Jun-2020,421,48,19
17-Jun-2020,350,41,20
18-Jun-2020,371,39,17
19-Jun-2020,353,40,17
20-Jun-2020,204,27,19
21-Jun-2020,174,33,28
22-Jun-2020,393,40,25
23-Jun-2020,376,42,27
24-Jun-2020,380,37,25
25-Jun-2020,297,37,19
26-Jun-2020,312,34,20
27-Jun-2020,206,37,21
28-Jun-2020,199,32,19
29-Jun-2020,439,39,25
30-Jun-2020,443,37,24
1-Jul-2020,397,30,12
2-Jul-2020,415,30,27
3-Jul-2020,227,24,23
4-Jul-2020,118,22,14
5-Jul-2020,151,24,16
6-Jul-2020,417,42,19
7-Jul-2020,426,41,13
8-Jul-2020,429,30,20
9-Jul-2020,372,41,10
10-Jul-2020,292,36,10
11-Jul-2020,222,30,13
12-Jul-2020,186,18,11
13-Jul-2020,359,45,18
14-Jul-2020,269,33,8
15-Jul-2020,264,22,13
16-Jul-2020,239,30,8
17-Jul-2020,268,44,10
18-Jul-2020,110,24,10
19-Jul-2020,86,25,10
20-Jul-2020,185,18,3
21-Jul-2020,65,0,4
22-Jul-2020,11,0,0
